NIH Spending Categorization,Project Terms,Project Title,Public Health Relevance,Administering IC,Application ID,FOA,Project Number,Type,Activity,IC,Serial Number,Support Year,Suffix,Contact PI Person ID,Contact PI / Project Leader,Other PI or Project Leader(s),Department,Primary DUNS,Primary UEI,Organization ID (IPF),Organization Name,Organization City,Organization State,Organization Type,Organization Zip,Organization Country,Funding Mechanism,Fiscal Year,Total Cost,Total Cost (Sub Projects),Funding IC(s),Direct Cost IC,InDirect Cost IC,NIH COVID-19 Response,Total Cost IC
No NIH Category available,Adipocytes;Adipose tissue;Affect;Affinity;Amino Acids;Animals;Antibodies;Binding;Biochemical;Biochemistry;Biological;Biophysics;Blood;Bone remodeling;Brain;Bypass;Cardiovascular Diseases;Cardiovascular system;Cell Culture Techniques;Cell surface;Cells;Cellular Metabolic Process;Cellular biology;Cognitive deficits;Complex;Cultured Cells;Data;Degenerative Disorder;Development;Disease;Disease Progression;Equilibrium;Exercise;Exhibits;Fatty acid glycerol esters;Fibronectins;Fluorescence Microscopy;Functional disorder;Half-Life;Heart;Heat-Shock Response;Hormones;Human;Individual;Integrin Binding;Integrin alphaV;Integrins;Lead;Life Style;Ligand Binding;Ligands;Liver;Malignant Neoplasms;Mammalian Cell;Measures;Mediating;Membrane Proteins;Mental disorders;Metabolic Diseases;Metabolism;Molecular;Morbid Obesity;Mus;Muscle;Muscle Cells;Muscle Fibers;Muslim religion;N-terminal;Nature;Non-Insulin-Dependent Diabetes Mellitus;Nuclear;Organ;PPAR gamma;Pathogenesis;Pathway interactions;Pattern;Persons;Pharmaceutical Preparations;Physical activity;Physiology;Plasma;Proteins;Publishing;RGD (sequence);Recombinant Proteins;Recombinants;Research;Resources;Role;Scientist;Signal Transduction;Site;Skeletal Muscle;Structure;Symptoms;Technology;Testing;Therapeutic;Tissues;Training;Transcription Coactivator;Work;age related;biophysical properties;bone;cofactor;disability;endurance exercise;glycosylation;improved;in vivo;molecular modeling;mutant;myogenesis;neuropathology;novel;obese patients;physical inactivity;polypeptide;prevent;receptor;receptor binding;sedentary;sedentary lifestyle;subcutaneous,Elucidating novel molecular mechanisms of irisin-mediated effects via integrin,"PROJECT NARRATIVE:
Inactive lifestyle leads to a variety of diseases, including metabolic disorders, cardiovascular dysfunctions, and
mental illness, and the sedentary behavior caused by diseases exacerbates pathogenesis. Irisin was identified
as an exercise-induced hormone that benefits multiple tissues/organs. Elucidating the molecular basis of irisin-
mediated effects via its integrin receptor may reveal a novel mechanism of hormone-induced integrin signaling,
and therapeutically, it will assist drug and antibody development to treat sedentary individuals to prevent disease
progression.",NIDDK,10464471,PA-21-048,1F32DK132864-01,1,F32,DK,132864,1, ,12547591,"A, MU ",Not Applicable,Unavailable,76580745,DPMGH9MG1X67,1464901,DANA-FARBER CANCER INST,BOSTON,MA,Independent Hospitals,22155450,UNITED STATES,"Training, Individual",2022,67582, ,NIDDK,67582,0, ,67582
No NIH Category available,3-Dimensional;Address;Affect;Algorithms;Attention;Auditory Perceptual Disorders;Back;Brain;Cellular Phone;Cephalic;Cephalometry;Child;Childhood;Classification;Clinical;Complex;Craniosynostosis;Data;Data Analyses;Data Collection;Deformity;Detection;Development;Diagnosis;Early Diagnosis;Early treatment;Epidemic;Evaluation;Feasibility Studies;Growth;Head;Head circumference;Health;Health Care Costs;Health Personnel;Health Professional;Helmet;Home;Image;Impairment;Infant;Institution;Intracranial Hypertension;Investigation;Lead;Left;Location;Machine Learning;Mandible;Measurement;Measures;Methods;Mission;Mobile Health Application;Monitor;Morbidity - disease rate;Motion;Operative Surgical Procedures;Patients;Pediatric Hospitals;Pediatrics;Penetration;Phase;Physical therapy;Prevalence;Provider;Reporting;Scanning;Shapes;Site;Small Business Innovation Research Grant;Standardization;Structure;Technology;Time;Torticollis;Training;Visit;Well Child Visits;Work;base;commercialization;cost;cranium;deep learning model;design;digital;digital health;effective therapy;experience;improved;indexing;infancy;infant monitoring;mHealth;machine learning method;malformation;medical complication;millimeter;mobile application;mobile computing;new technology;pediatrician;plagiocephaly;point of care;prevent;prototype;quantitative imaging;reconstruction;research clinical testing;screening;sensor;shape analysis;smartphone Application;social anxiety;societal costs;support tools;tool;usability;user-friendly,Mobile Three-Dimensional Screening for Cranial Malformations,"NARRATIVE
 Delayed identification of infant head malformation is causing unnecessary medical complications and societal
costs, partly because of the absence of tools available to pediatric offices. For this Fast-track SBIR proposal,
PediaMetrix Inc. has joined forces with clinical institutions to develop and evaluate a 3D mobile scanning tool
that provides cranial volume and malformation measurements. Our tool, called SoftSpotTM, will improve the early
detection and management of infant cranial malformations at the point-of-care and avoid delayed, costly and
intensive treatments.",NIDCR,10482547,PA-21-259,1R44DE031461-01A1,1,R44,DE,31461,1,A,15409769,"AALAMIFAR, FERESHTEH ","SEIFABADI, REZA ",Unavailable,81060963,M41ALBKWRKL5,10049265,PEDIAMETRIX INC.,Rockville,MD,Domestic For-Profits,20850,UNITED STATES,SBIR/STTR,2022,252059, ,NIDCR, , , ,252059
No NIH Category available,Address;Adherence;Affect;Attitude;Centers for Disease Control and Prevention (U.S.);Cessation of life;Charge;Child;Childhood;Collection;Communities;County;Data;Data Aggregation;Decision Making;Development;Drug usage;Ensure;Epidemic;Event;Evidence based treatment;Goals;Guidelines;Harm Reduction;Health;Helping to End Addiction Long-term;Imprisonment;Indiana;Individual;Intervention;Interview;Lead;Legal;Link;Modeling;Opiate Addiction;Opioid;Outcome;Overdose;Overdose reduction;Performance;Pharmaceutical Preparations;Pharmacotherapy;Phase;Philosophy;Pilot Projects;Policy Making;Population;Practice Guidelines;Prevention strategy;Public Health;Public Health Practice;Randomized;Recommendation;Recording of previous events;Research;Research Design;Resources;Risk Factors;Rural;Services;Social Work;Source;Speed;Sum;Surveys;System;Testing;Time;Training;Translating;United States National Institutes of Health;base;comorbidity;contextual factors;dashboard;data infrastructure;data repository;design;effectiveness outcome;emotional trauma;evidence base;implementation outcomes;implementation process;improved;member;mortality;multidisciplinary;multiple data sources;neglect;opioid misuse;overdose death;overdose prevention;overdose risk;programs;service gap;social;success;systems research;time use;tool;trial comparing;uptake;usability;user centered design,Fatal Overdose Review Teams - Research to Enhance Surveillance Systems (FORTRESS),"PROJECT NARRATIVE
The continued rise in overdose rates and sheer number of preventable overdose deaths suggest a need to
improve practices of widely-established overdose fatality review (OFR) teams by shifting OFRs away from case
review and toward using timely, population-level data to better inform their recommendations and actions. Thus,
we will provide OFRs with a real time overdose-related dashboard and data-driven decision making training.
We anticipate that our proposed intervention will lead to better quality, actionable OFR recommendations;
increased OFR actions to implement evidence-based overdose strategies based on dashboard data; and long
term reductions in both fatal and nonfatal overdoses.",NIDA,10590303,RFA-DA-22-051,1R61DA057660-01,1,R61,DA,57660,1, ,7006225,"AALSMA, MATTHEW ","RAY, BRADLEY ; REDA, KHAIRI ",PEDIATRICS,603007902,SHHBRBAPSM35,577806,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS,INDIANAPOLIS,IN,SCHOOLS OF MEDICINE,462022915,UNITED STATES,Non-SBIR/STTR,2022,1571023, ,NIDA,1124298,446725, ,1571023
No NIH Category available,Acute;Address;Affective;Aftercare;Amputation;Analgesics;Anxiety;Awareness;Benchmarking;Clinical Research;Clinical Trials;Data;Development;Distress;Doctor of Philosophy;Emotional;Emotions;Enrollment;Environment;Event;Faculty;Foundational Skills;Functional disorder;Funding;Goals;Gold;Grant;Individual;Injury;Intervention;K-Series Research Career Programs;Laboratories;Lead;Learning;Life;Literature;Measures;Medical;Mental Depression;Mental Health;Mentored Patient-Oriented Research Career Development Award;Mentorship;Moods;Multiple Fractures;Nociceptors;Operative Surgical Procedures;Opioid;Orthopedics;Outcome;Pain;Patients;Persistent pain;Persons;Population;Post-Traumatic Stress Disorders;Process;Prospective cohort;Psychologist;Psychology;Recovery;Rehabilitation therapy;Reporting;Research;Risk;Risk Factors;Science;Sensory;Severities;Spinal;Surveys;Survivors;Symptoms;Testing;Training;Trauma;Trauma patient;United States;Universities;Work;arm;base;career;career development;central sensitization;chronic pain;chronic pain management;clinically significant;common symptom;compliance behavior;design;disability;disabling symptom;efficacy evaluation;emotion regulation;experience;feasibility testing;follow-up;improved;improved outcome;novel;opioid use;pain symptom;post-trauma;predictive test;prescription opioid;programs;psychologic;psychological distress;recruit;research and development;response;satisfaction;severe injury;success;theories;therapy development;trauma exposure,Optimizing pain-related outcomes following orthopedic trauma: testing novel risk factors and determining the feasibility of a new pain psychology intervention,"PROJECT NARRATIVE
Orthopedic trauma is common and often associated with profound pain and psychological distress that can
persist for years following injury and relate to long-term disability. To promote adaptive recovery, there is an
urgent need to elucidate factors that relate to pain and distress following orthopedic trauma and to develop
targeted psychological interventions that address these potentially disabling symptoms. This project will take
initial steps towards addressing this gap and will lay the groundwork for an independent research program that
will harness pain pathophysiology and affective science to promote adaptive recovery following orthopedic
trauma.",NICHD,10371307,PA-20-206,1K23HD104934-01A1,1,K23,HD,104934,1,A,11863474,"AARON, RACHEL V.",Not Applicable,PHYSICAL MEDICINE & REHAB,1910777,FTMTDMBR29C7,4134401,JOHNS HOPKINS UNIVERSITY,BALTIMORE,MD,SCHOOLS OF MEDICINE,212182680,UNITED STATES,Other Research-Related,2022,135586, ,NICHD,126218,9368, ,135586
No NIH Category available,15 year old;AIDS prevention;Accountability;Acquired Immunodeficiency Syndrome;Address;Administrator;Adult;Africa South of the Sahara;Applications Grants;Award;Awareness;Biomedical Research;Budgets;COVID-19 pandemic;California;Caring;Centers for Disease Control and Prevention (U.S.);Clinical Research;Country;Development;Development Plans;Educational Curriculum;Educational workshop;Emergency Situation;Enrollment;Epidemic;Exercise;Female;Fogarty International Center;Funding;Funding Opportunities;Government Agencies;Grant;Guidelines;HIV;HIV Infections;Infrastructure;Institution;International;Intervention;Interview;Investments;Knowledge;Learning;Life Cycle Stages;Medicine;Mentors;Mentorship;Needs Assessment;Nigeria;Nigerian;Persons;Policies;Preparation;Prevalence;Procedures;Process;Public Health;Research;Research Institute;Research Personnel;Research Project Grants;Research Proposals;Research Training;Resources;Site Visit;State Government;System;Time;Training;Training Programs;Training Support;Translational Research;Translations;United States;United States National Institutes of Health;Universities;Visit;Work;base;cohort;college;dissemination research;dissemination science;experience;implementation research;implementation science;improved;infrastructure development;instructor;interest;low and middle-income countries;male;member;online course;professor;programs;research to practice;response;skills;symposium;virtual delivery,Strengthening Research Administration Infrastructure for HIV Research in Nigeria,"Program Narrative
The proposed program is a collaborative partnership between the University of Nigeria (UNN) and University of
California San Diego (UCSD) to strengthen UNN research administration and management infrastructure to
manage HIV research funds. The program will build research capacity at UNN by: 1) understanding the needs
and gaps in research administration and management at UNN; 2) improving the grants management and
proposal development knowledge, skills, and proficiency of UNN research administrators and HIV
implementation researchers; and 3) strengthening the ability of UNN research administrators and HIV
implementation researchers to submit successful NIH, CDC, and other donor-funded HIV grant applications by
providing mentorship, ongoing coaching and online courses from UCSD program instructors. The proposal will
train and mentor 12 UNN trainees through hands-on workshops and mentorship programs, and teach dozens of
trainees through online courses to meet the demand for grant funds accountability.",FIC,10473322,PAR-19-285,1G11TW011841-01A1,1,G11,TW,11841,1,A,2792918,"AARONS, GREGORY ","EZEANOLUE, ECHEZONA EDOZIE",PSYCHIATRY,804355790,UYTTZT6G9DT1,577507,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",LA JOLLA,CA,SCHOOLS OF MEDICINE,920930621,UNITED STATES,Other Research-Related,2022,103520, ,FIC,96702,6818, ,103520
No NIH Category available,Acute;Affect;Animal Model;Animals;Blood Flow Velocity;Blood Pressure;Blood Vessels;Blood flow;Brain;Cesarean section;Characteristics;Chronic;Data;Deceleration;Development;Doppler Ultrasound;Electric Capacitance;Emergency Situation;Event;Fetal Growth Retardation;Fetal Heart Rate;Fetal Monitoring;Fetal Movement;Fetus;Functional Magnetic Resonance Imaging;Functional disorder;Future;Gases;Goals;Health;Heart Rate;Human;Hypoxia;Individual;Lead;Liver;Magnetic Resonance Imaging;Maps;Mediating;Methods;Minor;Monitor;Motion;Organ;Outcome;Oxygen;Oxygen Consumption;Partial Pressure;Pathology;Perfusion;Personal Satisfaction;Pharmacology;Placenta;Pregnancy;Resistance;Risk;Signal Transduction;Stress;Stress Tests;Testing;Time;Tissues;Uterine Contraction;Uteroplacental Circulation;Uterus;Variant;adverse outcome;antenatal;blood oxygen level dependent;falls;fetal;fetal blood;fetus at risk;heart rate monitor;improved;in utero;intrapartum;novel therapeutics;oxygen transport;predictive test;pressure;regional difference;respiratory;response;spatiotemporal;stillbirth;tool;wasting,Characterizing the Relationship between Uterine Activity and Placental Function Across Pregnancy with MRI,"PROJECT NARRATIVE
While normally growing fetuses with healthy placentas have enough placental reserve capacity that Braxton
Hicks contractions do not significantly affect necessary placental oxygen transport, in dysfunctional placentas
with poor reserve these events may lead to hypoxic stress. There is a lack of information regarding the effect of
Braxton Hicks contractions in human pregnancies and whether these findings may provide information that will
inform development of future tests to identify fetuses at risk for adverse outcomes during delivery mediated by
placental dysfunction. We propose to characterize Braxton Hicks contractions across gestation, to analyze
spatio-temporal changes in placental oxygenation during these contractions and to monitor the effect of
placental oxygenation changes on fetal movement and fetal organ oxygenation via MRI.",NICHD,10535116,PAR-18-885,1R21HD106553-01A1,1,R21,HD,106553,1,A,14574456,"ABACI TURK, ESRA ",Not Applicable,Unavailable,76593722,Z1L9F1MM1RY3,1504801,BOSTON CHILDREN'S HOSPITAL,BOSTON,MA,Independent Hospitals,21155724,UNITED STATES,Non-SBIR/STTR,2022,227581, ,NICHD,128577,99004, ,227581
No NIH Category available,Animals;Behavior;Caenorhabditis elegans;Communication;Cues;Disease;Endocrine;Genes;Goals;Immune;Immune response;Immune system;Immunity;Immunologic Memory;Infection;Inflammation;Innate Immune Response;Innate Immune System;Instruction;Intestines;Lead;Mammals;Metabolic;Natural Immunity;Nematoda;Nervous system structure;Neurons;Neurosecretory Systems;Neurotransmitters;Pathogenicity;Pathologic;Pathway interactions;Physiological;Physiology;Play;Regulation;Role;Signal Transduction;Site;Tissues;Travel;genetic analysis;genetic approach;gut colonization;immune activation;immunoregulation;microbiota;neural circuit;new therapeutic target;next generation;pathogen;pathogen exposure;pathogenic bacteria;relating to nervous system;response,Genetic analysis of innate immunity using C. elegans,n/a,NIGMS,10363324,PA-16-160,4R37GM070977-20,4,R37,GM,70977,20, ,7604113,"ABALLAY, ALEJANDRO ",Not Applicable,Unavailable,96997515,NPSNT86JKN51,6297007,OREGON HEALTH & SCIENCE UNIVERSITY,PORTLAND,OR,Domestic Higher Education,972393098,UNITED STATES,Non-SBIR/STTR,2022,382121, ,NIGMS,250000,132121, ,382121
No NIH Category available,Accounting;Affect;Age;American;Caring;Clinical;Data;Economics;Enrollment;Felis catus;Health;Health Insurance;Health Personnel;Health Promotion;Heterogeneity;Hospital Mortality;Hospitals;Link;Literature;Measures;Medicare;Noise;Outcome;Patient-Focused Outcomes;Patients;Persons;Physicians;Policies;Provider;Quality of Care;Race;Research;Resort;Rewards;Statistical Models;Testing;Variant;Work;base;beneficiary;cohort;comorbidity;demographics;dual eligible;health plan;improved;instrument;insurance plan;mortality;novel;population health;provider networks;sex,Does Health Insurance Promote Health through Providers and Networks?,"OTHER PROJECT INFORMATION – Project Narrative
Health insurance plans may impact beneficiary health outcomes by steering them to higher- or lower-quality
providers. We will measure the impact of different providers on health outcomes and then use detailed data on
plan networks to aggregate provider-level quality scores into plan-level measures. We will analyze the degree
to which these measures explain differences in plan-level mortality rates and effects. We will further measure
the possible benefits of wide dissemination of these quality scores for policymaking.",NIA,10522582,PA-20-185,1R01AG075073-01A1,1,R01,AG,75073,1,A,10133980,"ABALUCK, JASON ",Not Applicable,Unavailable,54552435,GT28BRBA2Q49,1589901,NATIONAL BUREAU OF ECONOMIC RESEARCH,CAMBRIDGE,MA,Research Institutes,21385359,UNITED STATES,Non-SBIR/STTR,2022,347566, ,NIA,225582,121984, ,347566
No NIH Category available,Anatomy;Archives;BRAIN initiative;Brain;Calcium;Communities;Computer Models;Data;Data Set;Drosophila genus;Electron Microscopy;Functional Imaging;Future;Image;Machine Learning;Measurement;Mental disorders;Microscopy;Modeling;Morphology;Motion;Mus;Network-based;Neural Network Simulation;Neurons;Neurophysiology - biologic function;Neurosciences;Pattern;Photons;Physiological;Property;Regulation;Speed;Structure;Testing;V1 neuron;Visual;Visual Cortex;archive data;archived data;area striata;cell type;computer studies;computerized tools;convolutional neural network;data sharing;deep learning model;deep neural network;design;multimodal data;nervous system disorder;neural network;neural patterning;neurophysiology;novel;reconstruction;relating to nervous system;repository;response;two-photon;white matter,Integrated functional and structural analysis of an entire column in mouse primary visual cortex,"PROJECT NARRATIVE
The anatomical and structural organization of a healthy brain regulates its computation, and the assessment of
this regulation could reveal the underlying basis of numerous neurological and psychiatric disorders. In this
project, we propose to archive and analyze the largest calcium imaging dataset collected to date from an entire
column in the mouse primary visual cortex. We aim to use this data, along with the electron microscopy
reconstructions of neurons in V1, to design a novel topologically-plausible model of neurons in order to
understand how neural structure constrains its function.",NIMH,10505417,RFA-MH-21-130,1RF1MH128672-01A1,1,RF1,MH,128672,1,A,16549441,"ABBASI ASL, REZA ",Not Applicable,NEUROLOGY,94878337,KMH5K9V7S518,577508,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",SAN FRANCISCO,CA,SCHOOLS OF MEDICINE,941432510,UNITED STATES,Non-SBIR/STTR,2022,1334079, ,NIMH,982702,351377, ,1334079
No NIH Category available,Alloys;Arterial Fatty Streak;Arteries;Artificial Intelligence;Bone Density;Calcium;Cardiovascular Diseases;Cardiovascular system;Cessation of life;Charge;Clinical;Convection;Coronary Arteriosclerosis;Coupled;Data;Decision Making;Descriptor;Detection;Development;Disease;Early Diagnosis;Early Intervention;Engineering;Event;Future;Gold;Healthcare;Heart;Heart Diseases;Image;Imaging Techniques;Imaging technology;Location;Low Dose Radiation;Manufacturer Name;Medical Imaging;Modeling;Morbidity - disease rate;Morphologic artifacts;Motion;Motivation;Optics;Osteoporosis;Patient-Focused Outcomes;Patients;Performance;Physics;Population;Predictive Factor;Preventive healthcare;Probability;Property;Radiation;Research;Research Personnel;Resolution;Resource-limited setting;Roentgen Rays;Selenium;Structure;Sum;System;Technology;Testing;Thermal Conductivity;Thoracic Radiography;Time;Training;Tuberculosis;Vascular blood supply;X-Ray Computed Tomography;X-Ray Medical Imaging;artificial intelligence algorithm;automated algorithm;base;calcification;cardiovascular risk factor;coronary artery calcification;coronary artery calcium;cost;density;design;detection sensitivity;detector;digital;early detection biomarkers;electric field;experience;heart imaging;heart motion;image guided;image processing;imager;improved;innovation;lung cancer screening;machine learning algorithm;mortality;novel;operation;population based;quantum;radiological imaging;respiratory;screening;soft tissue;standard of care;success;vibration,A dual-layer flat panel x-ray detector based on an engineered amorphous chalcogenide alloy for quantifying coronary artery calcium,"PROJECT NARRATIVE
The proposed research will apply a novel dual-layer x-ray detector for calcium scoring to enable early detection
and intervention of cardiovascular disease, especially when patients are asymptomatic. Our technology, which
innovatively combines material engineering to tune electro-optical properties of chalcogenide alloys, detector
structure design, and artificial intelligence-guided image processing, brings much-needed quantitative
capabilities to x-ray imaging. This approach will allow accurate quantification of coronary artery calcium from
chest x-rays and will have immense impact on proactive healthcare, improving the clinical outcomes of patients,
and reducing the number of deaths associated with cardiovascular disease.",NIBIB,10504769,PAR-19-158,1R01EB033466-01,1,R01,EB,33466,1, ,12241149,"ABBASZADEH, SHIVA ","WANG, ADAM S",ENGINEERING (ALL TYPES),125084723,VXUFPE4MCZH5,577510,UNIVERSITY OF CALIFORNIA SANTA CRUZ,SANTA CRUZ,CA,BIOMED ENGR/COL ENGR/ENGR STA,950641077,UNITED STATES,Non-SBIR/STTR,2022,517942, ,NIBIB,416010,101932, ,517942
